name	taxid
Burkholderia gladioli	28095
Acidothermus cellulolyticus	28049
Lysinibacillus fusiformis	28031
Bifidobacterium animalis	28025
Brachypodium distachyon	15368
Burkholderia mallei	13373
Cricetulus griseus	10029
Drosophila simulans	7240
Aplysia californica	6500
Capronia semiimmersa	5601
Fusarium graminearum	5518
Candida tropicalis	5482
Agaricus bisporus	5341
Tremella mesenterica	5217
Neurospora crassa	5141
Ascosphaera apis	5105
Penicillium chrysogenum	5076
Saccharomyces sp.	4935
Cyberlindnera jadinii	4903
Zea mays	4577
Sorghum bicolor	4558
Medicago truncatula	3880
Glycine max	3847
Symbiobacterium thermophilum	2734
Thermotoga maritima	2336
Thermoanaerobacter kivui	2325
Sulfolobus solfataricus	2287
Natronomonas pharaonis	2257
Haloferax mediterranei	2252
Halobacterium salinarum	2242
Methanobrevibacter smithii	2173
Methanobacterium formicicum	2162
Mesoplasma florum	2151
Spiroplasma mirum	2144
Mycoplasma flocculare	2128
Mycoplasma californicum	2113
Mycoplasma synoviae	2109
Mycoplasma pneumoniae	2104
Mycoplasma mycoides	2102
Mycoplasma hominis	2098
Mycoplasma genitalium	2097
Mycoplasma gallisepticum	2096
Mycoplasma capricolum	2095
Pimelobacter simplex	2045
Streptomyces glaucescens	1907
Frankia alni	1859
Frankia sp.	1855
Rhodococcus erythropolis	1833
Mycobacterium chelonae	1774
Mycobacterium tuberculosis	1773
Mycobacterium smegmatis	1772
Mycobacterium bovis	1765
Mycobacterium avium	1764
Propionibacterium freudenreichii	1744
Corynebacterium pseudotuberculosis	1719
Corynebacterium glutamicum	1718
Bifidobacterium coryneforme	1687
Bifidobacterium adolescentis	1680
Trueperella pyogenes	1661
Listeria monocytogenes	1639
Listeria ivanovii	1638
Lactobacillus salivarius	1624
Lactobacillus plantarum	1590
Lactobacillus helveticus	1587
Lactobacillus acidophilus	1579
Clostridium scatologenes	1548
Clostridium cellulolyticum	1521
Clostridium beijerinckii	1520
Clostridium tetani	1513
Clostridium sporogenes	1509
Clostridium sordellii	1505
Peptoclostridium difficile	1496
Clostridium botulinum	1491
Bacillus atrophaeus	1452
Bacillus thuringiensis	1428
Bacillus subtilis	1423
Bacillus sp.	1409
Bacillus pumilus	1408
Paenibacillus polymyxa	1406
Bacillus mycoides	1405
Bacillus weihenstephanensis	1405
Bacillus licheniformis	1402
Bacillus coagulans	1398
Bacillus cereus	1396
Brevibacillus brevis	1393
Bacillus anthracis	1392
Bacillus amyloliquefaciens	1390
Lactococcus lactis	1358
Enterococcus faecium	1352
Streptococcus iniae	1346
Streptococcus equi	1336
Streptococcus dysgalactiae	1334
Streptococcus anginosus	1328
Streptococcus pyogenes	1314
Streptococcus pneumoniae	1313
Streptococcus agalactiae	1311
Streptococcus thermophilus	1308
Streptococcus salivarius	1304
Staphylococcus xylosus	1288
Staphylococcus hyicus	1284
Staphylococcus haemolyticus	1283
Staphylococcus epidermidis	1282
Staphylococcus aureus	1280
Dermacoccus nishinomiyaensis	1274
Micrococcus luteus	1270
Prochlorococcus marinus	1219
Synechocystis sp.	1143
Synechococcus sp.	1131
Rhodobacter sphaeroides	1063
Flavobacterium johnsoniae	986
Cellulophaga lytica	979
Bdellovibrio bacteriovorus	959
Desulfovibrio vulgaris	881
Faecalibacterium prausnitzii	853
Fusobacterium nucleatum	851
Prevotella ruminicola	839
Porphyromonas gingivalis	837
Bacteroides fragilis	817
Chlamydia trachomatis	813
Rickettsia rickettsii	783
Coxiella burnetii	777
Bartonella bacilliformis	774
Pasteurella multocida	747
Haemophilus parasuis	738
Haemophilus influenzae	727
Actinobacillus equuli	718
Vibrio campbellii	680
Vibrio sp.	678
Vibrio vulnificus	672
Vibrio parahaemolyticus	670
Vibrio cholerae	666
Aeromonas hydrophila	644
Yersinia pseudotuberculosis	633
Yersinia pestis	632
Yersinia intermedia	631
Yersinia enterocolitica	630
Shigella boydii	621
Serratia liquefaciens	614
Providencia stuartii	588
Klebsiella pneumoniae	573
Klebsiella oxytoca	571
Escherichia coli	562
Pectobacterium carotovorum	554
Enterobacter cloacae	550
Ochrobactrum anthropi	529
Bordetella bronchiseptica	518
Neisseria meningitidis	487
Moraxella catarrhalis	480
Acinetobacter baumannii	470
Tatlockia micdadei	451
Legionella hackeliae	449
Legionella pneumophila	446
Acetobacter pasteurianus	438
Sinorhizobium meliloti	382
Bradyrhizobium sp.	376
Bradyrhizobium japonicum	375
Agrobacterium tumefaciens	358
Azotobacter vinelandii	354
Xanthomonas oryzae	347
Xanthomonas citri	346
Xanthomonas campestris	339
Pseudomonas stutzeri	316
Pseudomonas sp.	306
Ralstonia solanacearum	305
Pseudomonas putida	303
Pseudomonas pseudoalcaligenes	301
Pseudomonas fluorescens	294
Burkholderia cepacia	292
Pseudomonas aeruginosa	287
Comamonas testosteroni	285
Thermus sp.	275
Francisella tularensis	263
Brucella abortus	235
Helicobacter pylori	210
Campylobacter lari	201
Campylobacter jejuni	197
Campylobacter fetus	196
Campylobacter coli	195
Azospirillum brasilense	192
Leptospira biflexa	172
Brachyspira hyodysenteriae	159
Sorangium cellulosum	56
Dictyoglomus thermophilum	14
